,Model Name,Accuracy,Specificity,Recall,Precision,F1,False Positives,False Negatives,ROC-AUC
0,TVEC + LR,0.9451693813032809,0.8809126321647189,0.890929326655537,0.8820936639118457,0.8864894795127354,214,196,0.885920979410128
0,TVEC + NB,0.8509711727313839,0.9276572064552031,0.7851975514746801,0.9156391953277093,0.8454164170161773,130,386,0.8564273789649416
0,CVEC + LR,0.9438651121344556,0.8080133555926544,0.9404563160823595,0.8304668304668305,0.8820459290187892,345,107,0.8742348358375069
0,CVEC + NB,0.8546734661450474,0.9126321647189761,0.7929883138564274,0.9007585335018964,0.8434448061556674,157,372,0.8528102392877018
0,TVEC + RFC,0.7704968263773126,0.5765164162493044,0.9504730105731776,0.6917780477926286,0.8007501172058133,761,89,0.763494713411241
0,TVEC + SVC,0.8796277022332413,0.8636616583194212,0.9137451307735114,0.8701642819289878,0.8914223669923994,245,155,0.8887033945464662
0,TVEC + KNN,0.5552498046748294,0.20589872008903728,0.9599332220367279,0.5472715736040609,0.6971105273792686,1427,72,0.5829159710628826
0,TVEC + DTC,0.8294518390652221,0.8191430161380078,0.8720089037284363,0.8282241014799154,0.8495527243155326,325,230,0.845575959933222
0,TVEC + GBC,0.8511114495807208,0.7824151363383417,0.9348914858096828,0.8112023177209078,0.8686659772492243,391,117,0.8586533110740123
0,CVEC + RFC,0.7672071838294264,0.560378408458542,0.9504730105731776,0.6837469975980784,0.7953434225844004,790,89,0.7554257095158599
0,CVEC + SVC,0.8575550647746215,0.7941012799109627,0.9354479688369505,0.8196001950268161,0.8737006237006237,370,116,0.8647746243739566
0,CVEC + KNN,0.5552498046748294,0.20589872008903728,0.9599332220367279,0.5472715736040609,0.6971105273792686,1427,72,0.5829159710628826
0,CVEC + GBC,0.85179666250161,0.7835281023928771,0.9376739009460211,0.8124397299903569,0.8705760785326788,389,112,0.8606010016694491
0,CVEC + DTC,0.8401443760923872,0.8213689482470785,0.8937117417918754,0.8334198235599377,0.862513426423201,321,191,0.857540345019477
