,Model Name,Accuracy,Specificity,Recall,Precision,F1,False Positives,False Negatives,ROC-AUC
0,RandomForestClassifier() + Tvec,0.7943795214245966,0.6238174735670562,0.9649415692821369,0.7195020746887967,0.8243403850724982,676,63,0.9422156917739783
0,SVC() + Tvec,0.9017807456872565,0.9220923761825265,0.8814691151919867,0.9187935034802784,0.8997443907980688,140,213,0.9612746174506721
0,LogisticRegression() + Tvec,0.9006677796327212,0.9120756816917084,0.889259877573734,0.9100227790432802,0.8995215311004784,158,199,0.9691734133143763
0,DecisionTreeClassifier() + Tvec,0.8628269337785197,0.8274902615470228,0.8981636060100167,0.8388773388773388,0.8675087342112335,310,183,0.908910325307571
0,KNeighborsClassifier() + Tvec,0.562047857540345,0.23427935447968837,0.8898163606010017,0.5374789915966387,0.6701592623637888,1376,198,0.6177173130702044
0,GradientBoostingClassifier() + Tvec,0.8795214245965498,0.8135781858653311,0.9454646633277685,0.8352999016715831,0.8869746802401461,335,98,0.9577271717658421
0,MultinomialNB() + Tvec,0.8864774624373957,0.9332220367278798,0.8397328881469115,0.9263351749539595,0.8809106830122592,120,288,0.9680057598888604
0,RandomForestClassifier() + Cvec,0.8024485253199778,0.6366165831942125,0.9682804674457429,0.7271207689093189,0.8305489260143198,653,57,0.9406134076971856
0,SVC() + Cvec,0.8770172509738453,0.8063439065108514,0.9476905954368392,0.8303266699171136,0.8851351351351351,348,94,0.9604838109711171
0,LogisticRegression() + Cvec,0.897607122982749,0.8458542014468559,0.9493600445186422,0.8603126575895108,0.9026455026455027,277,91,0.9695147182281062
0,DecisionTreeClassifier() + Cvec,0.8714524207011686,0.8258208124652198,0.9170840289371174,0.8403875573686894,0.8770622671633848,313,149,0.9153310599588975
0,KNeighborsClassifier() + Cvec,0.7195325542570952,0.48414023372287146,0.9549248747913188,0.6492622020431328,0.7729729729729728,927,81,0.8355823086123066
0,GradientBoostingClassifier() + Cvec,0.8800779076238174,0.7946577629382304,0.9654980523094046,0.8246197718631179,0.8895155088438862,369,62,0.9576184142195142
0,MultinomialNB() + Cvec,0.8912075681691708,0.9220923761825265,0.8603227601558152,0.9169632265717675,0.8877404536319266,140,251,0.9668183058143311
